income_group,age_target,pop_2019,proportion,deaths,life_years_lost,t_start,R0,reduction1,reduction2,coverage,immunosenescence,mode,hs_constraints,efficacy,duration_R,duration_V,dur_vacc_delay,vaccine_start,vaccine_period,seeding_cases,timing1,timing2,deaths_cf,life_years_lost_cf,deaths_averted_2021,additional_life_years_2021,vaccine_n_2021,dapd_2021,pop_age_target,relative_constraint,cost,y,strategy
UMIC,0_0_0_0_0_0_0_0_0_1_1_1_1_1_1_1_1,2855862789,31.275606788,27537.28,653883.52,60,2.5,0.5599999999999999,0.19999999999999996,0.8,1,Infection,Present,0.9,365,5000,7,327,30,60,60,357,108456.8,1874003.76,4621900.921434826,69689919.83043498,714550733,0.006468261395255141,893188416,25.020485429210865,714550733,69689919.83043498,Target older groups first
UMIC,0_0_0_0_0_0_0_0_1_1_1_1_1_1_1_1_1,2855862789,37.106621994,24079.72,554500.69,60,2.5,0.5599999999999999,0.19999999999999996,0.8,1,Infection,Present,0.9,365,5000,7,327,30,60,60,357,108456.8,1874003.76,4819387.260329522,75366394.35168524,847771368,0.005684772384673243,1059714210,29.68529760131974,847771368,75366394.35168524,Target older groups first
UMIC,0_0_0_0_0_0_0_1_1_1_1_1_1_1_1_1_1,2855862789,44.985291374,19531.11,435505.94,60,2.5,0.5599999999999999,0.19999999999999996,0.8,1,Infection,Present,0.9,365,5000,7,327,30,60,60,357,108456.8,1874003.76,5079191.381142989,82163047.9239124,1027774558,0.0049419314226892,1284718197,35.988233116755666,1027774558,82163047.9239124,Target older groups first
UMIC,0_0_0_0_0_0_1_1_1_1_1_1_1_1_1_1_1,2855862789,53.290555374,16940.83,365069.32,60,2.5,0.5599999999999999,0.19999999999999996,0.8,1,Infection,Present,0.9,365,5000,7,327,30,60,60,357,108456.8,1874003.76,5227141.066444807,86186194.36473106,1217524113,0.004293254656370585,1521905141,42.63244430683326,1217524113,86186194.36473106,Target older groups first
UMIC,0_0_0_0_0_1_1_1_1_1_1_1_1_1_1_1_1,2855862789,61.813560378,14773.14,310272.31,60,2.5,0.5599999999999999,0.19999999999999996,0.8,1,Infection,Present,0.9,365,5000,7,327,30,60,60,357,108456.8,1874003.76,5350953.570626555,89316049.20088027,1412248375,0.0037889606838333346,1765310469,49.45084828443416,1412248375,89316049.20088027,Target older groups first
UMIC,0_0_0_0_1_1_1_1_1_1_1_1_1_1_1_1_1,2855862789,69.544699119,13096.1,268082.98,60,2.5,0.5599999999999999,0.19999999999999996,0.8,1,Infection,Present,0.9,365,5000,7,327,30,60,60,357,108456.8,1874003.76,5446741.493259846,91725787.9536771,1588880947,0.0034280362561072216,1986101184,55.635759292075704,1588880947,91725787.9536771,Target older groups first
UMIC,0_0_0_1_1_1_1_1_1_1_1_1_1_1_1_1_1,2855862789,76.222682393,9296.47,188363.65,60,2.5,0.5599999999999999,0.19999999999999996,0.8,1,Infection,Present,0.9,365,5000,7,327,30,60,60,357,108456.8,1874003.76,5663765.931839208,96279137.31589735,1741452178,0.003252323550119069,2176815223,60.97814589368915,1741452178,96279137.31589735,Target older groups first
UMIC,0_0_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,2855862789,83.886276986,1052.41,20551.04,60,2.5,0.5599999999999999,0.19999999999999996,0.8,1,Infection,Present,0.9,365,5000,7,327,30,60,60,357,108456.8,1874003.76,6134644.015524874,105864133.08437672,1916541576,0.00320089274011782,2395676970,67.10902160222795,1916541576,105864133.08437672,Target older groups first
UMIC,0_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,2855862789,91.990686019,496.62,9089.37,60,2.5,0.5599999999999999,0.19999999999999996,0.8,1,Infection,Present,0.9,365,5000,7,327,30,60,60,357,108456.8,1874003.76,6166389.21511484,106518792.22143266,2101702217,0.002933997578235845,2627127771,73.59254881205008,2101702217,106518792.22143266,Target older groups first
UMIC,1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,2855862789,100.000000002,496.9,9096.39,60,2.5,0.5599999999999999,0.19999999999999996,0.8,1,Infection,Present,0.9,365,5000,7,327,30,60,60,357,108456.8,1874003.76,6166373.222283223,106518391.2582971,2284690231,0.0026989974999460198,2855862789,79.99999999299686,2284690231,106518391.2582971,Target older groups first
