run_number,deaths,life_years_lost,vaccine_n
26072,33157.5,968128.45,7750855
26073,60706.81,1464245.13,12883330
26074,40048,983181.11,11707983
26075,32082.46,854343.35,12042568
26076,28970.05,831450.54,12101863
26077,56024.2,1359196.63,14728222
26078,25914.57,632176.5,14773280
26079,20645.6,542586.74,15889595
26080,18019.27,505063.65,16912967
26081,48721.64,1186400.39,16669347
26082,627.88,12652.68,18014926
26083,525.4,11585.43,19877327
26084,1767.16,47258.94,22190306
26085,40103.95,978024.58,18633521
26086,527.16,10195.38,21218797
26087,461.48,9905.72,23842763
26088,636.58,15911.43,28126297
26089,65224.22,1575197.98,9001555
26090,53073.13,1316610.32,5857763
26091,42149.48,1146060.31,4676721
26092,35767.08,1058272.82,3318048
26093,60125.78,1446390.4,11735039
26094,47795.56,1173240.96,9267175
26095,38343.43,1029102.36,8186323
26096,33247.38,964500.14,6528434
26097,54782.37,1314050.2,14002893
26098,43054.75,1044571.69,12359608
26099,34798.56,921854.07,11716634
26100,30150.31,858824.59,10393518
26101,50166.21,1198175.91,15865731
26102,35165.41,848670.31,15029877
26103,28334.65,740662.02,15357640
26104,25359.17,708503.1,14744599
26105,44293.56,1065346.82,17710444
26106,18618.33,446365.16,18095820
26107,14990.66,386583.06,19204628
26108,3817.39,102323.16,19555647
26109,15333.91,373826.19,19652744
26110,554.09,10777.98,21336958
26111,476.18,10234.46,23190966
26112,495.42,11966.25,24833114
26113,4162.16,99600.41,21615165
26114,517.04,9877.64,24541995
26115,452.03,9597.19,27157733
26116,439.63,10415.93,30768984
26117,62655.67,1504807.54,8957015
26118,50547.19,1252186.54,5686514
26119,40339.61,1093264.21,4418594
26120,35453.83,1046513.17,2900378
26121,51801.97,1230963.24,11938396
26122,45629.24,1111157.45,9008633
26123,36604.84,973872.31,7733587
26124,32627.99,939410.59,5543176
26125,46270.81,1093842.2,14671822
26126,40510.48,975110.77,12417516
26127,32861.24,862212.38,11243382
26128,29978.32,844671.56,8754123
26129,40687.16,957883.57,16943231
26130,35876.92,852547.45,15511982
26131,29367.72,759471.25,14773975
26132,26668.55,736382.24,12619039
26133,34665.92,809782.78,18802572
26134,28005.2,661772.91,18180746
26135,22887.28,583405.79,18414738
26136,20954.08,565800.94,16970212
26137,26374.2,621515.86,20648406
26138,9140.59,214372.61,21246222
26139,7484.28,188119.46,22261772
26140,641.43,15700.57,21781293
26141,549.2,10782.02,22591822
26142,517.75,9839.7,24487943
26143,448.05,9450.37,26248319
26144,408.77,9555.64,27058714
26145,474.98,8984.78,24552153
26146,505.08,9526.56,27691880
26147,440.49,9242.22,30214976
26148,405.63,9437.18,32994657
26149,63955.96,1529181.84,8841582
26150,52761.88,1305337.2,4868140
26151,41640.4,1127810.57,3904150
26152,35423.51,1047667.43,2572592
26153,51007.5,1198611.04,11777311
26154,45383.09,1101563.47,8018986
26155,36168.11,957688.63,6961315
26156,32372.08,930970.57,4798051
26157,39527.49,916444.57,14759981
26158,40605.3,967145.34,11340616
26159,32539.64,844172.79,10276468
26160,29487.41,824795.64,7440554
26161,34314.56,790003.4,17494465
26162,35707.27,839449.64,14749745
26163,28949.93,739534.22,13786320
26164,26781.3,731300.11,10651766
26165,29718.1,680291.4,19761586
26166,31404.02,727765.44,17841622
26167,25694.97,646020.37,17316606
26168,23370.88,623963.29,14516489
26169,23168.64,523088.83,21624229
26170,23902.94,550671.57,20512756
26171,19555.86,484142.32,20957610
26172,16521.32,430064.52,18867485
26173,14705,335114.76,23469302
26174,5312.27,120894.85,23578254
26175,4414.66,107451.17,24804657
26176,443.81,10409.31,23678484
26177,440.3,8116.28,25409930
26178,509.21,9580.64,26819924
26179,441.15,9220,28791082
26180,392.81,9081.86,28956067
26181,436.01,7999.05,27373345
26182,501.76,9396.5,30023580
26183,437.34,9112,32757892
26184,395.08,9110.7,34892033
26185,64143.7,1540061.31,8581130
26186,51720.19,1275875.19,4778257
26187,40886.92,1108744.3,3424890
26188,35491.38,1056145.94,2225358
26189,53336.49,1253584.14,11402235
26190,46638.88,1126666.95,7110723
26191,36782.51,974046.52,5967869
26192,32517.97,943186.75,4122669
26193,40530.07,933009.2,14339409
26194,39669.51,938181.15,10262115
26195,31582.51,815518.04,9025242
26196,29501.57,829629.91,6348273
26197,29545.96,668283.9,17321859
26198,35184.94,814438.8,13582777
26199,28150.38,710202.87,12339783
26200,26659.88,727043.21,8990867
26201,25283.17,566536.92,20055097
26202,30739.86,701110.53,16992083
26203,24867.26,616591.08,15849581
26204,24018.69,637969.36,12201920
26205,21716.74,482841.15,22324199
26206,26955.29,605072.89,20084118
26207,21979.26,535441.31,19380181
26208,20680.92,536037.6,16066835
26209,16478.94,359812.76,24186168
26210,20052.95,447078.95,22755460
26211,16359.78,391732.97,23020997
26212,13077.69,329783.1,20417749
26213,10187.97,225661.78,26030679
26214,3089.56,67398.11,25820779
26215,2567.98,60021.16,26868158
26216,411.53,9524.82,25228716
26217,425.41,7723.66,27971846
26218,502.85,9375.96,29062387
26219,434.7,9011.06,30854499
26220,386.48,8880.6,30506427
26221,423.87,7672.67,29935819
26222,498.38,9266.25,32266022
26223,433.14,8962.84,34821161
26224,390.23,8949.91,36442498
26225,64312.67,1543739.19,8285821
26226,50617.46,1252858.52,4638390
