run_number,deaths,life_years_lost,vaccine_n
6231,3716.39,79832.27,26286479
6232,2573.09,62148.55,27544714
6233,481.6,8159.76,21647516
6234,542.33,9628,26638643
6235,590.29,13353.61,29927364
6236,932.96,25129.93,31894332
6237,53243.87,762123.67,16308229
6238,54881.32,836532.14,17549797
6239,59574.63,1241800.03,18018141
6240,79060.79,1971507.13,15385922
6241,47583.16,675306.19,18268949
6242,44336.79,684125.85,20753755
6243,50074.27,1052226.58,21983856
6244,71488.4,1746787.83,21321171
6245,31460.03,445735.23,20209421
6246,31592.12,483283.11,23994565
6247,36178.29,748771.31,25973229
6248,37263.19,869865.66,26598225
6249,1011.59,16331.1,22057525
6250,1167.65,19151.16,27060504
6251,1474.86,31686.28,29816752
6252,1040.91,27484.38,31408929
6253,40662.97,571343.42,18168272
6254,41225.76,626941.34,20220861
6255,45102.86,929688.27,21660541
6256,57375.89,1375540.98,19736219
6257,34430.67,476843.66,20134488
6258,31256.14,482492.86,23423699
6259,35910.14,748334.62,25624805
6260,42112.29,990078.1,25674848
6261,8888.58,119496.71,22072256
6262,5883.19,90811,26665718
6263,7854.83,165332.59,29610964
6264,1310.77,33478.34,30948100
6265,23587.17,345954.77,20012190
6266,7377.76,113912.82,23285466
6267,8748.23,183353.27,25504884
6268,1097.93,28767.75,24549128
6269,16068.16,233353.23,21975553
6270,1894.93,30732.57,26489102
6271,2499.2,53867.62,29471421
6272,966.85,25850.1,30481486
6273,473.34,8039.91,21953372
6274,554.44,9766.45,26527188
6275,598.73,13464.23,29490957
6276,883.58,23962.97,29822593
6277,467.55,7953.64,23917051
6278,537.68,9540.11,29730954
6279,585.35,13238.99,33457735
6280,883.02,23990.67,35761565
6281,144238.92,2198288.58,2266952
6282,97589.15,1633619.28,2103193
6283,105512.99,2439450.31,1652441
6284,126182.38,3701918.7,1237032
6285,138987.2,2111589.62,4232236
6286,84694.87,1431533.9,5306564
6287,90819.24,2073282.75,5618876
6288,120189.21,3466211.5,7173205
6289,130050.97,1979086.38,6172353
6290,72642.39,1220483.46,8548070
6291,78110.72,1757386.95,9605222
6292,110741.05,3111685.15,12454282
6293,119462.51,1841783.5,8016533
6294,47508.04,798092.26,11615978
6295,52728.48,1171784.31,13452815
6296,95585.59,2597006.57,17262533
6297,107970.23,1659920.42,9879284
6298,880.57,15400.82,14284496
6299,942.84,21134.02,17092821
6300,63312.69,1655624.32,21611217
6301,86826.81,1340507.14,12151520
6302,643.36,11370.6,17377526
6303,703.17,15867.28,20623014
6304,11303.99,286436.6,25475668
6305,60573.82,941088.43,14880914
6306,583.28,10358.11,20785937
6307,638.85,14477.8,24132661
6308,1885.68,48814.07,28688790
6309,2772.98,43933.59,17863423
6310,566.25,10050.28,24109227
6311,618.24,14013.08,27447683
6312,1051.14,28262.11,31330322
6313,525.69,8835.84,20800535
6314,543.11,9651.05,27258958
6315,590.33,13392.71,30504709
6316,920.01,24992.88,33551055
6317,474.12,8033.61,23622250
6318,536.54,9515.77,29591155
6319,582.11,13173.33,33046993
6320,880.1,23945.04,35447166
6321,123551.45,1854194.94,4828848
6322,88183.33,1430088.95,4345862
6323,91268.03,2018551.39,3715085
6324,117086.83,3371452.14,2785921
6325,117373.04,1754174.01,6792472
6326,75251.99,1232656.3,7548868
6327,80168.44,1777119.49,7681849
6328,111091.44,3140334.3,8721996
6329,106853.27,1599995.35,8736580
6330,62830.86,1022316.72,10791432
6331,67229.11,1466796.86,11668040
6332,101505.06,2788713.2,13999799
6333,93520.79,1426109.99,10580870
6334,32475.9,528347.97,13857119
6335,36842.35,796355.25,15514857
6336,85372.75,2259745.52,18809642
6337,70204.06,1073482.68,12441591
6338,642.95,11299.66,16528427
6339,694.6,15574.63,19155685
6340,37664.03,954137.36,23159553
6341,26150.25,406677.85,14711936
6342,581.81,10277.47,19619469
6343,631.16,14214.37,22686086
6344,3450.6,86880.16,27023736
6345,7607.34,119045.97,17446274
6346,557.31,9871.76,23028525
6347,604.67,13658.73,26195611
6348,1216.58,32186.87,30236772
6349,630.95,10479.62,20425418
6350,549.3,9722.05,26350540
6351,594.75,13434.43,29510557
6352,960.01,25945.74,32878118
6353,473.44,8032.57,23365565
6354,534.69,9472,29501506
6355,577.22,13049.28,32567642
6356,888.6,24155.84,35102838
6357,102085.74,1493909.75,7650776
6358,80163.48,1267147.18,6677331
6359,82597.51,1777707.69,6258120
6360,107879.83,3019496.27,4681711
6361,95888.31,1397065.89,9614345
6362,67409.47,1076896.59,9882018
6363,71713.14,1548691.18,10224324
6364,101647.98,2787855.78,10617679
6365,82853.79,1209672.79,11555197
6366,54756.09,868559.54,13123268
6367,58646.6,1245874.12,14210210
6368,91412.12,2427211.41,15894702
6369,54583.64,822435.36,13400023
6370,19616.99,311804,16187944
6371,23305.44,494340.57,18058575
6372,70768.07,1799293.83,20704836
6373,6409.51,98098.43,15263371
6374,585.3,10309.24,18858962
6375,633.82,14217.41,21697779
6376,7578.17,185323.67,25055434
6377,1259.47,19881.86,17534627
6378,558.95,9869.7,21951614
6379,605.55,13619.07,25228207
6380,1264.68,33139.5,28923486
6381,712.03,11620.22,20264249
6382,545.23,9644.72,25360628
6383,590.41,13309.4,28739117
6384,973.82,26217.02,32132808
6385,491.7,8314.12,23246642
6386,540.97,9559.68,28682381
6387,584.79,13180.52,32052692
6388,897.93,24360.59,34771387
6389,78229.55,1107978.89,10588262
6390,67810.09,1046500.23,9828836
6391,70883.89,1491613.37,9317274
